iter	RMSE
0	1450.028498
1	1396.962493
2	1368.044155
3	1337.004158
4	1303.848707
5	1283.866971
6	1258.029741
7	1225.142853
8	1212.040734
9	1194.223578
10	1184.249167
11	1170.601906
12	1152.127914
13	1144.615283
14	1132.308133
15	1117.790166
16	1110.107352
17	1095.153366
18	1080.749899
19	1072.080739
20	1061.438888
21	1043.989736
22	1026.976594
23	1020.639604
24	1006.800414
25	991.8896196
26	967.6319387
27	963.9451992
28	952.1595341
29	935.5299721
30	913.1764784
31	896.2086627
32	884.4180757
33	871.8690449
34	861.1861367
35	849.3399526
36	843.9650894
37	840.0528353
38	830.9495839
39	822.6094712
40	818.9474517
41	816.6877744
42	796.6644985
43	790.4086312
44	780.0001304
45	756.3513944
46	738.4004019
47	725.0653597
48	723.3401252
49	709.7071972
50	708.7935298
51	699.1466122
52	683.7658857
53	669.4660571
54	652.5606081
55	640.6259096
56	632.6140672
57	624.5776308
58	613.3851946
59	604.9803985
60	601.4670712
61	600.1260739
62	585.1147571
63	578.5894051
64	576.728489
65	558.7208063
66	543.8678446
67	542.4496453
68	536.7285022
69	517.1442433
70	503.1789798
71	496.4175954
72	488.6206821
73	483.4278239
74	473.4363126
75	465.8371073
76	463.784697
77	462.8747074
78	462.113694
79	451.5809871
80	442.9283005
81	439.216438
82	435.3695596
83	429.1850254
84	424.6081536
85	418.3608453
86	414.8509185
87	408.4441791
88	398.1426345
89	393.5264052
90	386.288793
91	382.9082174
92	382.009342
93	375.6168345
94	374.9888286
95	369.5404456
96	366.335024
97	360.895164
98	356.9409085
99	349.3916511
