iter	Passed	Remaining
0	1	165
1	2	133
2	3	117
3	4	109
4	5	105
5	6	101
6	7	96
7	8	93
8	8	90
9	9	88
10	10	85
11	11	83
12	12	81
13	13	80
14	13	79
15	14	77
16	15	75
17	16	74
18	17	73
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	22	64
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	35	48
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	40
52	44	39
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
