feature,importance,abs_importance
progressed_ever,0.5254909500663443,0.5254909500663443
de_stag_7thed,0.40072781381384304,0.40072781381384304
treat_2,-0.2883971344923337,0.2883971344923337
clinical_n_7thed,0.27976964648088315,0.27976964648088315
progsite_brain_ever,0.2726783278432585,0.2726783278432585
progsite_pleura_ever,0.19202623571985158,0.19202623571985158
enc_934,-0.15041419255568628,0.15041419255568628
wrkweld,0.10813183730301511,0.10813183730301511
diaghear,0.09563500049404107,0.09563500049404107
treat_1,0.09419794778783715,0.09419794778783715
clinical_t_7thed,0.07948927089706785,0.07948927089706785
progsite_mediastinum_ever,0.07024691978247098,0.07024691978247098
treatnum_102,0.06998135950132023,0.06998135950132023
comp_code_5,0.06483911042867323,0.06483911042867323
comp_code_1,0.06450219480810822,0.06450219480810822
wrkpain,0.06236785592523984,0.06236785592523984
locrup,0.06024509762031575,0.06024509762031575
lc_morph_8070,0.05122375506931211,0.05122375506931211
enc_919,-0.051057947670337,0.051057947670337
progsite_liver_ever,0.04643994068096393,0.04643994068096393
treatnum_206,-0.04016201210464714,0.04016201210464714
enc_621,-0.039655890124530385,0.039655890124530385
comp_code_23,-0.032740784551050506,0.032740784551050506
lesionsize,0.03240998845150175,0.03240998845150175
diagstro,0.03037966525815289,0.03037966525815289
enc_938,-0.026313166683698715,0.026313166683698715
enc_523,-0.02570266864695516,0.02570266864695516
loclhil,-0.024554927145886887,0.024554927145886887
de_type_8070.0,0.016546501576800085,0.016546501576800085
cigsmok,0.016164631475263334,0.016164631475263334
enc_569,0.015574536993123065,0.015574536993123065
de_type_8250.0,-0.015363547894989739,0.015363547894989739
loclup,-0.013932585079771184,0.013932585079771184
enc_313,-0.01041823664647224,0.01041823664647224
locoth,-0.005982041356072854,0.005982041356072854
comp_code_34,0.00550488738360876,0.00550488738360876
comp_code_25,0.004977123726966024,0.004977123726966024
loclmsb,-0.0017352454390331645,0.0017352454390331645
enc_609,0.0,0.0
enc_617,0.0,0.0
enc_573,0.0,0.0
enc_574,0.0,0.0
enc_616,0.0,0.0
enc_615,0.0,0.0
enc_614,0.0,0.0
enc_613,0.0,0.0
enc_612,0.0,0.0
enc_611,0.0,0.0
enc_610,0.0,0.0
enc_575,0.0,0.0
enc_618,0.0,0.0
enc_561,0.0,0.0
enc_627,0.0,0.0
enc_563,0.0,0.0
enc_626,0.0,0.0
enc_625,0.0,0.0
enc_624,0.0,0.0
enc_564,0.0,0.0
enc_623,0.0,0.0
enc_572,0.0,0.0
enc_622,0.0,0.0
enc_566,0.0,0.0
enc_567,0.0,0.0
enc_568,0.0,0.0
enc_620,0.0,0.0
enc_619,0.0,0.0
enc_570,0.0,0.0
enc_571,0.0,0.0
enc_565,0.0,0.0
enc_588,0.0,0.0
enc_587,0.0,0.0
enc_589,0.0,0.0
enc_590,0.0,0.0
enc_591,0.0,0.0
enc_592,0.0,0.0
enc_593,0.0,0.0
enc_594,0.0,0.0
enc_586,0.0,0.0
enc_585,0.0,0.0
enc_584,0.0,0.0
enc_595,0.0,0.0
enc_583,0.0,0.0
enc_582,0.0,0.0
enc_596,0.0,0.0
enc_607,0.0,0.0
enc_608,0.0,0.0
enc_606,0.0,0.0
enc_605,0.0,0.0
enc_604,0.0,0.0
enc_603,0.0,0.0
enc_576,0.0,0.0
enc_602,0.0,0.0
enc_597,0.0,0.0
enc_601,0.0,0.0
enc_578,0.0,0.0
enc_579,0.0,0.0
enc_600,0.0,0.0
enc_599,0.0,0.0
enc_580,0.0,0.0
enc_598,0.0,0.0
enc_581,0.0,0.0
enc_577,0.0,0.0
enc_688,0.0,0.0
enc_687,0.0,0.0
enc_686,0.0,0.0
enc_685,0.0,0.0
enc_684,0.0,0.0
enc_683,0.0,0.0
enc_682,0.0,0.0
enc_681,0.0,0.0
enc_680,0.0,0.0
enc_562,0.0,0.0
enc_678,0.0,0.0
enc_677,0.0,0.0
enc_676,0.0,0.0
enc_675,0.0,0.0
enc_674,0.0,0.0
enc_673,0.0,0.0
enc_672,0.0,0.0
enc_671,0.0,0.0
enc_670,0.0,0.0
enc_679,0.0,0.0
enc_709,0.0,0.0
enc_708,0.0,0.0
enc_707,0.0,0.0
enc_706,0.0,0.0
enc_705,0.0,0.0
enc_704,0.0,0.0
enc_703,0.0,0.0
enc_702,0.0,0.0
enc_701,0.0,0.0
enc_689,0.0,0.0
enc_699,0.0,0.0
enc_698,0.0,0.0
enc_697,0.0,0.0
enc_696,0.0,0.0
enc_695,0.0,0.0
enc_694,0.0,0.0
enc_693,0.0,0.0
enc_692,0.0,0.0
enc_691,0.0,0.0
enc_690,0.0,0.0
enc_700,0.0,0.0
enc_647,0.0,0.0
enc_646,0.0,0.0
enc_645,0.0,0.0
enc_644,0.0,0.0
enc_643,0.0,0.0
enc_642,0.0,0.0
enc_641,0.0,0.0
enc_640,0.0,0.0
enc_639,0.0,0.0
enc_669,0.0,0.0
enc_637,0.0,0.0
enc_636,0.0,0.0
enc_635,0.0,0.0
enc_634,0.0,0.0
enc_633,0.0,0.0
enc_632,0.0,0.0
enc_631,0.0,0.0
enc_630,0.0,0.0
enc_629,0.0,0.0
enc_628,0.0,0.0
enc_638,0.0,0.0
enc_668,0.0,0.0
enc_667,0.0,0.0
enc_666,0.0,0.0
enc_665,0.0,0.0
enc_664,0.0,0.0
enc_663,0.0,0.0
enc_662,0.0,0.0
enc_661,0.0,0.0
enc_660,0.0,0.0
enc_648,0.0,0.0
enc_658,0.0,0.0
enc_657,0.0,0.0
enc_656,0.0,0.0
enc_655,0.0,0.0
enc_654,0.0,0.0
enc_653,0.0,0.0
enc_652,0.0,0.0
enc_651,0.0,0.0
enc_650,0.0,0.0
enc_649,0.0,0.0
enc_659,0.0,0.0
enc_464,0.0,0.0
enc_463,0.0,0.0
enc_462,0.0,0.0
enc_461,0.0,0.0
enc_460,0.0,0.0
enc_459,0.0,0.0
enc_458,0.0,0.0
enc_457,0.0,0.0
enc_547,0.0,0.0
enc_455,0.0,0.0
enc_454,0.0,0.0
enc_453,0.0,0.0
enc_452,0.0,0.0
enc_451,0.0,0.0
enc_450,0.0,0.0
enc_449,0.0,0.0
enc_448,0.0,0.0
enc_447,0.0,0.0
enc_456,0.0,0.0
enc_483,0.0,0.0
enc_482,0.0,0.0
enc_481,0.0,0.0
enc_480,0.0,0.0
enc_479,0.0,0.0
enc_478,0.0,0.0
enc_477,0.0,0.0
enc_476,0.0,0.0
enc_465,0.0,0.0
enc_474,0.0,0.0
enc_473,0.0,0.0
enc_472,0.0,0.0
enc_471,0.0,0.0
enc_470,0.0,0.0
enc_469,0.0,0.0
enc_468,0.0,0.0
enc_467,0.0,0.0
enc_466,0.0,0.0
enc_475,0.0,0.0
enc_426,0.0,0.0
enc_425,0.0,0.0
enc_424,0.0,0.0
enc_423,0.0,0.0
enc_422,0.0,0.0
enc_421,0.0,0.0
enc_420,0.0,0.0
enc_419,0.0,0.0
enc_446,0.0,0.0
enc_417,0.0,0.0
enc_416,0.0,0.0
enc_415,0.0,0.0
enc_414,0.0,0.0
enc_413,0.0,0.0
enc_412,0.0,0.0
enc_411,0.0,0.0
enc_410,0.0,0.0
enc_409,0.0,0.0
enc_418,0.0,0.0
enc_445,0.0,0.0
enc_444,0.0,0.0
enc_443,0.0,0.0
enc_442,0.0,0.0
enc_441,0.0,0.0
enc_440,0.0,0.0
enc_439,0.0,0.0
enc_438,0.0,0.0
enc_427,0.0,0.0
enc_436,0.0,0.0
enc_435,0.0,0.0
