feature,importance
lesionsize,0.018036788
enc_375,0.014684483
enc_158,0.013486451
enc_140,0.013476883
enc_616,0.012191072
enc_160,0.011332474
enc_383,0.011111971
enc_945,0.0108116735
enc_661,0.010689117
enc_221,0.010484316
enc_61,0.010297848
enc_181,0.01000331
enc_69,0.009963626
enc_469,0.00991345
enc_272,0.00936095
enc_891,0.0089542745
enc_976,0.008704657
enc_321,0.008656978
enc_240,0.008411767
enc_397,0.008194752
enc_85,0.008079047
enc_859,0.007964439
enc_424,0.0077118156
enc_529,0.0075478544
enc_825,0.007092871
enc_220,0.006997188
enc_805,0.006932395
enc_37,0.0069043054
enc_842,0.006435162
enc_672,0.00632375
enc_914,0.006214999
enc_821,0.00619931
enc_990,0.005760939
enc_956,0.0056761485
enc_304,0.0054391827
enc_155,0.005429951
enc_987,0.0053756246
enc_70,0.005318648
enc_814,0.005234683
enc_941,0.0050448435
enc_436,0.005034449
enc_373,0.004816133
enc_575,0.004752515
enc_647,0.004746756
enc_54,0.0047036014
enc_558,0.004592289
diaghear,0.004569609
enc_938,0.0043968735
enc_401,0.00438095
enc_133,0.004180517
enc_191,0.003954367
enc_633,0.0038498093
enc_545,0.0038314268
enc_411,0.0037871231
enc_331,0.0037566305
enc_642,0.0037220332
enc_992,0.0036600796
enc_522,0.003575695
enc_372,0.003571111
enc_426,0.0034877849
enc_502,0.00341256
enc_315,0.0033359495
enc_455,0.0032990437
enc_685,0.0032523305
enc_12,0.0031707291
enc_136,0.0031605482
enc_105,0.0031506896
enc_419,0.0031134493
enc_230,0.003062558
enc_607,0.0029688359
enc_868,0.0028536331
enc_152,0.00271617
enc_693,0.002645629
enc_142,0.002578335
enc_145,0.0025781945
enc_170,0.0025709288
enc_45,0.0025597638
enc_464,0.0025205004
enc_1001,0.0024987215
enc_889,0.0024787448
enc_755,0.0024533423
enc_540,0.0024070558
enc_355,0.002392195
enc_135,0.0023701475
enc_100,0.0023148248
enc_3,0.002307136
enc_503,0.002299448
enc_460,0.0022209235
enc_307,0.0021781274
enc_833,0.0021530301
enc_763,0.0021402831
enc_198,0.0020798233
enc_820,0.0020767988
enc_313,0.0020086388
enc_890,0.0019750004
enc_414,0.0019100904
enc_578,0.0019019598
enc_601,0.0018810021
enc_380,0.0018527271
enc_995,0.0018454777
enc_639,0.0018009741
enc_396,0.0017968805
enc_679,0.001785662
enc_621,0.0017655098
enc_969,0.001711665
enc_758,0.0017024822
enc_861,0.0017007317
enc_940,0.0016971243
enc_262,0.0016722681
enc_215,0.0016702346
enc_50,0.0016376758
enc_960,0.0016221947
enc_500,0.001618055
wrkfarm,0.0016179613
enc_445,0.0015791946
enc_950,0.0015732258
enc_614,0.0015717167
enc_963,0.0015639294
enc_533,0.0015589
enc_853,0.0015476105
enc_440,0.0015151222
enc_850,0.0014923498
enc_903,0.0014767286
enc_984,0.0014754906
enc_542,0.0014645155
enc_657,0.0014623892
enc_410,0.0014561042
enc_797,0.0014286401
enc_724,0.0014235312
enc_350,0.0014038091
enc_784,0.0013770246
enc_909,0.0013609848
enc_189,0.0013577363
enc_118,0.0013349971
enc_694,0.0013279023
enc_98,0.0013214354
weight,0.001319058
enc_590,0.0013169647
enc_1019,0.001268799
enc_1000,0.0012642841
enc_584,0.001261464
enc_347,0.0012602808
enc_387,0.001244286
enc_42,0.0012311955
locrlow,0.0012029434
wrkpain,0.0012022255
enc_577,0.0011703082
enc_1011,0.0011563873
enc_947,0.0011551303
enc_670,0.0011545497
enc_63,0.0011507866
enc_110,0.0011470539
enc_260,0.0011462069
enc_475,0.0011380214
enc_238,0.001125048
enc_854,0.0010956533
enc_928,0.0010856309
cigsmok,0.0010816549
enc_932,0.0010722877
enc_301,0.0010683157
enc_559,0.0010567902
enc_734,0.0010392936
enc_438,0.0010328563
enc_132,0.001028836
enc_857,0.0010027908
enc_278,0.0009802969
enc_190,0.000977257
enc_292,0.00097430905
enc_57,0.0009651809
enc_794,0.00094645063
enc_918,0.00093582505
enc_311,0.0009333392
enc_465,0.00091860647
enc_78,0.00090328185
enc_126,0.0009004741
enc_447,0.00088996673
age,0.0008884173
