PID,embedding
100158,"[-0.05678109 -0.03071712 -0.00358458 ... -0.008752   -0.02516513
 -0.03320261]"
100242,"[-0.077679   -0.02870351  0.02665952 ...  0.02329032  0.0025298
 -0.03177772]"
100697,"[-0.04499502 -0.03757547 -0.01190625 ... -0.00413535 -0.03063585
 -0.01535053]"
101287,"[-0.06017747 -0.04313    -0.00359589 ...  0.01250038  0.01767081
 -0.02764481]"
101387,"[-0.05235298 -0.00465995 -0.00862443 ... -0.01694377 -0.02416233
 -0.02972   ]"
101428,"[-0.0513933  -0.0083384   0.01406996 ...  0.01976529 -0.01225204
 -0.02158815]"
101692,"[-0.04349003 -0.01812748 -0.01192981 ... -0.01021165 -0.00720844
 -0.02639084]"
101834,"[-0.06452668 -0.01321995  0.00582933 ...  0.01659125 -0.02344341
 -0.03989395]"
102161,"[-0.05261472 -0.02597983  0.00409645 ... -0.0078652   0.00524694
 -0.0425709 ]"
102537,"[-0.06354984 -0.01766162  0.01938495 ...  0.01959484  0.02552924
  0.00661401]"
102658,"[-0.05938658 -0.0195566   0.0194305  ...  0.01129506  0.01719874
 -0.04505866]"
102676,"[-0.05823249 -0.04040467  0.001747   ...  0.00433239 -0.04031887
 -0.03092001]"
102736,"[-0.06770442 -0.02828682  0.01644777 ...  0.02243808 -0.03748124
 -0.02157517]"
103232,"[-0.06043889 -0.02434485  0.01536543 ...  0.00827319  0.00505968
 -0.03341564]"
103344,"[-0.05483831  0.00868698  0.00738413 ...  0.01245394 -0.01854837
 -0.03018494]"
103507,"[-0.0482882   0.01402098 -0.00087288 ... -0.0055572  -0.0372536
 -0.0279818 ]"
103619,"[-0.06489258 -0.03687351  0.00788227 ...  0.01594559 -0.03978904
 -0.04477176]"
103760,"[-0.05695281 -0.00710385 -0.01005935 ... -0.00625877 -0.02703363
 -0.01671477]"
104386,"[-0.06349367 -0.00949694  0.02119025 ...  0.03022794 -0.02332593
 -0.04336125]"
104564,"[-0.04624214 -0.01721492  0.00564007 ... -0.00955431  0.00540286
 -0.03072542]"
104683,"[-0.05632025 -0.02763922 -0.01050763 ...  0.00223449 -0.00631501
 -0.02018281]"
105142,"[-0.03745102 -0.01855151  0.01415041 ...  0.00871351  0.01229965
 -0.02459118]"
105352,"[-0.07817757 -0.02106552  0.00211909 ... -0.00441718 -0.01345448
 -0.02299366]"
105767,"[-0.06287411 -0.02537219  0.0169491  ...  0.02127756 -0.03681406
 -0.04413849]"
105974,"[-0.05991642 -0.021589    0.01820367 ...  0.00487383 -0.01547437
 -0.03124865]"
106000,"[-0.06457673 -0.01356196  0.01013253 ...  0.01763008 -0.01589342
 -0.03676718]"
106194,"[-0.0332718   0.01419065 -0.00355117 ...  0.00197929 -0.00096059
 -0.05619971]"
106204,"[-0.05155893  0.00127507 -0.00236225 ... -0.0041709  -0.01148231
 -0.02354565]"
106591,"[-0.0560548  -0.01918873  0.00054045 ... -0.00065607 -0.02189653
 -0.02041034]"
