Weight_Img,Weight_Clin,AUC,C-Index,Balanced_Acc,F1,Recall,Precision
0.0,1.0,0.8758333333333334,0.8758333333333334,0.8166666666666667,0.68,0.85,0.5666666666666667
0.1,0.9,0.8791666666666667,0.8791666666666667,0.825,0.6938775510204082,0.85,0.5862068965517241
0.2,0.8,0.87,0.87,0.825,0.6938775510204082,0.85,0.5862068965517241
0.3,0.7,0.8625,0.8625,0.825,0.6938775510204082,0.85,0.5862068965517241
0.4,0.6,0.8575,0.8575,0.8333333333333333,0.7083333333333334,0.85,0.6071428571428571
0.5,0.5,0.8491666666666666,0.8491666666666666,0.75,0.6086956521739131,0.7,0.5384615384615384
0.6,0.4,0.8383333333333334,0.8383333333333334,0.6416666666666667,0.46153846153846156,0.45,0.47368421052631576
0.7,0.3,0.8208333333333333,0.8208333333333333,0.6,0.375,0.3,0.5
0.8,0.2,0.8033333333333333,0.8033333333333333,0.6083333333333333,0.3870967741935484,0.3,0.5454545454545454
0.9,0.1,0.7416666666666667,0.7416666666666667,0.575,0.3225806451612903,0.25,0.45454545454545453
1.0,0.0,0.6083333333333333,0.6083333333333333,0.5333333333333333,0.21428571428571427,0.15,0.375
