Weight_Img,Weight_Clin,AUC,C-Index,Balanced_Acc,F1,Recall,Precision
0.0,1.0,0.765,0.765,0.6499999999999999,0.48,0.6,0.4
0.1,0.9,0.78,0.78,0.7083333333333333,0.5581395348837209,0.6,0.5217391304347826
0.2,0.8,0.7933333333333333,0.7933333333333333,0.7333333333333334,0.6,0.6,0.6
0.3,0.7,0.7858333333333333,0.7858333333333334,0.6666666666666666,0.5,0.45,0.5625
0.4,0.6,0.775,0.775,0.6,0.375,0.3,0.5
0.5,0.5,0.7641666666666667,0.7641666666666667,0.6,0.375,0.3,0.5
0.6,0.4,0.75,0.75,0.575,0.3225806451612903,0.25,0.45454545454545453
0.7,0.3,0.7308333333333333,0.7308333333333333,0.575,0.3225806451612903,0.25,0.45454545454545453
0.8,0.2,0.7066666666666667,0.7066666666666667,0.55,0.26666666666666666,0.2,0.4
0.9,0.1,0.6558333333333333,0.6558333333333334,0.5583333333333333,0.27586206896551724,0.2,0.4444444444444444
1.0,0.0,0.6083333333333333,0.6083333333333333,0.5333333333333333,0.21428571428571427,0.15,0.375
