2025-12-11 16:53:48,375 INFO    MainThread:36924 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_setup.py:_flush():76] Configure stats pid to 36924
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_setup.py:_flush():76] Loading settings from /nas-ctm01/homes/fmferreira/.config/wandb/settings
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_setup.py:_flush():76] Loading settings from /nas-ctm01/homes/fmferreira/AI4LUNGS/wandb/settings
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test_embeddings_binary.py', 'program': '/nas-ctm01/homes/fmferreira/AI4LUNGS/test_embeddings_binary.py'}
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_init.py:_log_setup():507] Logging user logs to ./wandb/run-20251211_165348-035z851d/logs/debug.log
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_init.py:_log_setup():508] Logging internal logs to ./wandb/run-20251211_165348-035z851d/logs/debug-internal.log
2025-12-11 16:53:48,376 INFO    MainThread:36924 [wandb_init.py:init():547] calling init triggers
2025-12-11 16:53:48,377 INFO    MainThread:36924 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 50, 'batch_size': 24, 'model_type': 'MLP_Binary'}
2025-12-11 16:53:48,377 INFO    MainThread:36924 [wandb_init.py:init():596] starting backend
2025-12-11 16:53:48,377 INFO    MainThread:36924 [wandb_init.py:init():600] setting up manager
2025-12-11 16:53:48,379 INFO    MainThread:36924 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-12-11 16:53:48,383 INFO    MainThread:36924 [wandb_init.py:init():606] backend started and connected
2025-12-11 16:53:48,385 INFO    MainThread:36924 [wandb_init.py:init():700] updated telemetry
2025-12-11 16:53:48,399 INFO    MainThread:36924 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2025-12-11 16:53:49,065 INFO    MainThread:36924 [wandb_run.py:_on_init():2177] communicating current version
2025-12-11 16:53:49,159 INFO    MainThread:36924 [wandb_run.py:_on_init():2186] got version response upgrade_message: "wandb version 0.23.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-12-11 16:53:49,159 INFO    MainThread:36924 [wandb_init.py:init():787] starting run threads in backend
2025-12-11 16:53:51,878 INFO    MainThread:36924 [wandb_run.py:_console_start():2158] atexit reg
2025-12-11 16:53:51,878 INFO    MainThread:36924 [wandb_run.py:_redirect():2013] redirect: 3
2025-12-11 16:53:51,879 INFO    MainThread:36924 [wandb_run.py:_redirect():2078] Wrapping output streams.
2025-12-11 16:53:51,879 INFO    MainThread:36924 [wandb_run.py:_redirect():2103] Redirects installed.
2025-12-11 16:53:51,880 INFO    MainThread:36924 [wandb_init.py:init():829] run started, returning control to user process
2025-12-11 16:53:57,266 INFO    MainThread:36924 [wandb_run.py:_finish():1893] finishing run franciscosacouto-inesc-tec/survival_analysis/035z851d
2025-12-11 16:53:57,266 INFO    MainThread:36924 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2025-12-11 16:53:57,266 INFO    MainThread:36924 [wandb_run.py:_restore():2110] restore
2025-12-11 16:53:57,266 INFO    MainThread:36924 [wandb_run.py:_restore():2116] restore done
2025-12-11 16:54:02,470 INFO    MainThread:36924 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2025-12-11 16:54:02,471 INFO    MainThread:36924 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2025-12-11 16:54:02,477 INFO    MainThread:36924 [wandb_run.py:_footer_sync_info():3428] logging synced files
